player,season,all_star
Allen Iverson,1999-00,1
Tim Duncan,1999-00,1
Vince Carter,1999-00,1
Kevin Garnett,1999-00,1
Alonzo Mourning,1999-00,1
Gary Payton,1999-00,1
Shaquille O'Neal,1999-00,1
Karl Malone,1999-00,1
Jason Kidd,1999-00,1
Kobe Bryant,1999-00,1
Chris Webber,1999-00,1
Scottie Pippen,1999-00,1
Anfernee Hardaway,1999-00,1
Grant Hill,1999-00,1
Dikembe Mutombo,1999-00,1
Ray Allen,1999-00,1
Jamal Mashburn,1999-00,1
Stephon Marbury,1999-00,1
Antonio McDyess,1999-00,1
Shareef Abdur-Rahim,1999-00,1
Allen Iverson,2000-01,1
Tim Duncan,2000-01,1
Vince Carter,2000-01,1
Kevin Garnett,2000-01,1
Ray Allen,2000-01,1
Gary Payton,2000-01,1
Shaquille O'Neal,2000-01,1
Karl Malone,2000-01,1
Jason Kidd,2000-01,1
Kobe Bryant,2000-01,1
Chris Webber,2000-01,1
Dikembe Mutombo,2000-01,1
Stephon Marbury,2000-01,1
Antonio McDyess,2000-01,1
Dirk Nowitzki,2000-01,1
Baron Davis,2000-01,1
Paul Pierce,2000-01,1
Tracy McGrady,2000-01,1
Peja Stojakovic,2000-01,1
Reggie Miller,2000-01,1
Allen Iverson,2001-02,1
Tim Duncan,2001-02,1
Vince Carter,2001-02,1
Kevin Garnett,2001-02,1
Paul Pierce,2001-02,1
Gary Payton,2001-02,1
Shaquille O'Neal,2001-02,1
Karl Malone,2001-02,1
Jason Kidd,2001-02,1
Kobe Bryant,2001-02,1
Tracy McGrady,2001-02,1
Dikembe Mutombo,2001-02,1
Stephon Marbury,2001-02,1
Dirk Nowitzki,2001-02,1
Steve Francis,2001-02,1
Reggie Miller,2001-02,1
Peja Stojakovic,2001-02,1
Jermaine O'Neal,2001-02,1
Chris Webber,2001-02,1
Ben Wallace,2001-02,1
Allen Iverson,2002-03,1
Tim Duncan,2002-03,1
Kevin Garnett,2002-03,1
Paul Pierce,2002-03,1
Jason Kidd,2002-03,1
Gary Payton,2002-03,1
Shaquille O'Neal,2002-03,1
Dirk Nowitzki,2002-03,1
Kobe Bryant,2002-03,1
Tracy McGrady,2002-03,1
Steve Francis,2002-03,1
Jermaine O'Neal,2002-03,1
Ben Wallace,2002-03,1
Peja Stojakovic,2002-03,1
Vince Carter,2002-03,1
Ray Allen,2002-03,1
Chris Webber,2002-03,1
Mike Bibby,2002-03,1
Elton Brand,2002-03,1
Yao Ming,2002-03,1
Allen Iverson,2003-04,1
Tim Duncan,2003-04,1
Kevin Garnett,2003-04,1
Jason Kidd,2003-04,1
LeBron James,2003-04,1
Gary Payton,2003-04,1
Shaquille O'Neal,2003-04,1
Dirk Nowitzki,2003-04,1
Kobe Bryant,2003-04,1
Tracy McGrady,2003-04,1
Jermaine O'Neal,2003-04,1
Ben Wallace,2003-04,1
Vince Carter,2003-04,1
Ray Allen,2003-04,1
Yao Ming,2003-04,1
Steve Francis,2003-04,1
Peja Stojakovic,2003-04,1
Jamaal Magloire,2003-04,1
Michael Redd,2003-04,1
Sam Cassell,2003-04,1
Allen Iverson,2004-05,1
Tim Duncan,2004-05,1
Kevin Garnett,2004-05,1
LeBron James,2004-05,1
Dwyane Wade,2004-05,1
Steve Nash,2004-05,1
Shaquille O'Neal,2004-05,1
Dirk Nowitzki,2004-05,1
Tracy McGrady,2004-05,1
Jermaine O'Neal,2004-05,1
